"分目 (編號)","分目","項目 (編號)","項目","2016–17實際收入
$’000","2017–18原來預算
$’000","2017–18修訂預算
$’000","2018–19預算
$’000"
"010","博彩及彩票稅","","","21118983","21552423","21439208","21212000"
"030","入息及利得稅","020","利得稅","139238084","139000000","135600000","155143000"
"030","入息及利得稅","030","個人入息課稅","5219954","4800000","5200000","4870000"
"030","入息及利得稅","040","物業稅","3371739","3200000","3400000","3600000"
"030","入息及利得稅","050","薪俸稅","59077484","61855000","61855000","54835000"
"050","遺產稅","","","18833","15000","15000","15000"
"070","印花稅","","","61898965","53000000","92700000","100000000"
"080","飛機乘客離境稅","","","2597908","2719840","2748154","2849000"
