"STAFF","HEAD (CODE)","HEAD OF EXPENDITURE","ESTABLISHMENT (TOTAL NUMBER OF POSTS) AS AT 31.3.2018
Revised
estimate","ESTABLISHMENT (NUMBER OF SUPERNUMERARY DIRECTORATE POSTS) AS AT 31.3.2018
Revised
estimate","ESTABLISHMENT (TOTAL NUMBER OF POSTS) AS AT 31.3.2019
Estimate
Number of posts","ESTABLISHMENT (NUMBER OF SUPERNUMERARY DIRECTORATE POSTS) AS AT 31.3.2019
Estimate"
"Government paid staff","21","Chief Executive¡¦s Office",103,,103,
"Government paid staff","22","Agriculture, Fisheries and Conservation Department",2175,,2277,
"Government paid staff","25","Architectural Services Department",1861,,1908,1
"Government paid staff","24","Audit Commission",192,,197,
"Government paid staff","23","Auxiliary Medical Service",99,,99,
"Government paid staff","82","Buildings Department",1831,1,1956,1
"Government paid staff","26","Census and Statistics Department",1243,,1250,
"Government paid staff","27","Civil Aid Service",103,,105,
"Government paid staff","28","Civil Aviation Department",772,1,854,2
"Government paid staff","33","Civil Engineering and Development Department",1906,11,1997,11
"Government paid staff","30","Correctional Services Department",7052,,7118,
"Government paid staff","31","Customs and Excise Department",6621,,7387,
"Government paid staff","37","Department of Health",6451,2,6634,2
"Government paid staff","92","Department of Justice",1365,2,1444,2
"Government paid staff","39","Drainage Services Department",1945,,2003,
"Government paid staff","42","Electrical and Mechanical Services Department",451,,515,
"Government paid staff","44","Environmental Protection Department",1909,3,2120,4
"Government paid staff","45","Fire Services Department",10694,,11077,
"Government paid staff","49","Food and Environmental Hygiene Department",11189,3,11296,4
"Government paid staff","46","General Expenses of the Civil Service",359,,359,
"Government paid staff","166","Government Flying Service",293,,304,
"Government paid staff","48","Government Laboratory",487,,487,
"Government paid staff","59","Government Logistics Department",714,,717,
"Government paid staff","51","Government Property Agency",211,,211,
"Government paid staff","143","Government Secretariat: Civil Service Bureau",630,,643,
"Government paid staff","152","Government Secretariat: Commerce and Economic Development Bureau (Commerce, Industry and Tourism Branch)",242,3,268,6
"Government paid staff","55","Government Secretariat: Commerce and Economic Development Bureau (Communications and Creative Industries Branch)",121,2,121,2
"Government paid staff","144","Government Secretariat: Constitutional and Mainland Affairs Bureau",192,,199,1
"Government paid staff","138","Government Secretariat: Development Bureau (Planning and Lands Branch)",153,1,171,1
"Government paid staff","159","Government Secretariat: Development Bureau (Works Branch)",281,5,291,5
"Government paid staff","156","Government Secretariat: Education Bureau",6036,1,6153,1
"Government paid staff","137","Government Secretariat: Environment Bureau",53,1,53,1
"Government paid staff","148","Government Secretariat: Financial Services and the Treasury Bureau (Financial Services Branch)",104,2,114,3
"Government paid staff","147","Government Secretariat: Financial Services and the Treasury Bureau (The Treasury Branch)",190,,193,
"Government paid staff","139","Government Secretariat: Food and Health Bureau (Food Branch)",57,1,61,1
"Government paid staff","140","Government Secretariat: Food and Health Bureau (Health Branch)",126,2,169,1
"Government paid staff","53","Government Secretariat: Home Affairs Bureau",280,5,300,5
"Government paid staff","135","Government Secretariat: Innovation and Technology Bureau",58,,178,
"Government paid staff","155","Government Secretariat: Innovation and Technology Commission",236,,286,
"Government paid staff","141","Government Secretariat: Labour and Welfare Bureau",115,,122,
"Government paid staff","47","Government Secretariat: Office of the Government Chief Information Officer",668,,684,
"Government paid staff","142","Government Secretariat: Offices of the Chief Secretary for Administration and the Financial Secretary",568,1,523,3
"Government paid staff","96","Government Secretariat: Overseas Economic and Trade Offices",167,,174,
"Government paid staff","151","Government Secretariat: Security Bureau",224,1,257,1
"Government paid staff","158","Government Secretariat: Transport and Housing Bureau (Transport Branch)",207,4,209,4
"Government paid staff","60","Highways Department",2262,5,2415,5
"Government paid staff","63","Home Affairs Department",2051,,2176,1
"Government paid staff","168","Hong Kong Observatory",315,,332,
"Government paid staff","122","Hong Kong Police Force",34627,,35684,
"Government paid staff","70","Immigration Department",8109,2,8933,1
"Government paid staff","72","Independent Commission Against Corruption",1498,,1504,
"Government paid staff","74","Information Services Department",429,,434,
"Government paid staff","76","Inland Revenue Department",2852,,2889,
"Government paid staff","78","Intellectual Property Department",158,,161,
"Government paid staff","79","Invest Hong Kong",36,,37,
"Government paid staff","174","Joint Secretariat for the Advisory Bodies on Civil Service and Judicial Salaries and Conditions of Service",31,,34,
"Government paid staff","80","Judiciary",1943,2,1980,2
"Government paid staff","90","Labour Department",2408,1,2547,1
"Government paid staff","91","Lands Department",4180,,4558,
"Government paid staff","94","Legal Aid Department",543,,546,
"Government paid staff","95","Leisure and Cultural Services Department",9779,,10021,
"Government paid staff","100","Marine Department",1455,3,1464,3
"Government paid staff","180","Office for Film, Newspaper and Article Administration",67,,68,
"Government paid staff","116","Official Receiver¡¦s Office",242,,273,
"Government paid staff","118","Planning Department",867,1,917,1
"Government paid staff","136","Public Service Commission Secretariat",32,,32,
"Government paid staff","160","Radio Television Hong Kong",731,1,738,1
"Government paid staff","162","Rating and Valuation Department",877,,895,
"Government paid staff","163","Registration and Electoral Office",257,,260,
"Government paid staff","169","Secretariat, Commissioner on Interception of Communications and Surveillance",23,,23,
"Government paid staff","170","Social Welfare Department",6066,1,6358,1
"Government paid staff","181","Trade and Industry Department",510,,516,
"Government paid staff","186","Transport Department",1705,,1827,
"Government paid staff","188","Treasury",509,,511,
"Government paid staff","190","University Grants Committee",72,,81,
"Government paid staff","194","Water Supplies Department",4483,2,4566,2
"Government paid staff","173","Working Family and Student Financial Assistance Agency",1284,,1282,
"Staff working under other public bodies","","Companies Registry Trading Fund",351,1,379,
"Staff working under other public bodies","","Electrical and Mechanical Services Trading Fund",3575,,3615,
"Staff working under other public bodies","","Hong Kong Monetary Authority",10,,7,
"Staff working under other public bodies","","Hospital Authority",1165,,1019,
"Staff working under other public bodies","","Housing Authority",9239,,9490,
"Staff working under other public bodies","","Land Registry Trading Fund",581,,586,
"Staff working under other public bodies","","Legal Aid Services Council",4,,4,
"Staff working under other public bodies","","Office of the Communications Authority Trading Fund",339,,351,
"Staff working under other public bodies","","Post Office Trading Fund",5347,,5347,
"Staff working under other public bodies","","Vocational Training Council",5,,4,
