Receipts,"Actual receipts 2016¡V17
$¡¦000","Revised estimate 2017¡V18
$¡¦000","Estimate 2018¡V19
$¡¦000"
Mark Six Lottery,1276129,1103525,1086990
Net proceeds of auctions of vehicle registration marks,87613,58714,60805
Investment income,730226,634908,1039000
Donations,4065,4171,4171
Refund of grants,0,218,0
